Number,Caller,IT System,Short description,Assignment group,Assigned to,State,Affected CI,Priority,Incident state,Updated,Opened,Severity,Business duration,Duration
INC12455288,Spotlight Service ,,"DBA Spotlight LDNPBRSDBLS,51433  Availability Group - Synchronization Health: Some availability replicas are unhealthy. ",Database Administrators,,Closed,,5 - Planning,Closed,2025-01-10 02:57:30,2025-01-08 16:37:59,3 - Low,57600,123571
INC12390037,Spotlight Service ,UAD - EM Prod,"Spotlight notification for LDN1WS094N01,51433  Monitored Server - SQL Server Secondary Connection Failure: Connection 'SQLServerXEventsChannel' failed to co",Database Administrators,,Closed,ldn1ws094n01,3 - Moderate,Closed,2025-01-10 02:57:30,2025-01-08 12:03:40,3 - Low,57600,140030
INC12369442,Spotlight Service ,BRS - EM Prod,"DBA Spotlight LDN1WS003N01,51433  SQL Agent - Long Running Jobs (Percent) : Job #ETD_HUB_Parallel_Output_File has been executing for 10 minutes 19 seconds (",Database Administrators,,Closed,ldn1ws003n01,3 - Moderate,Closed,2025-01-10 02:57:22,2025-01-08 10:44:47,3 - Low,57600,144755
INC12363669,Spotlight Service ,BRS - EM Prod,"DBA Spotlight LDN1WS003N01,51433  SQL Agent - Long Running Jobs (Percent) : Job #ETD_HUB_Parallel_Run has been executing for 9 minutes 22 seconds (1812% of ",Database Administrators,,Closed,ldn1ws003n01,3 - Moderate,Closed,2025-01-10 02:57:01,2025-01-08 10:19:53,3 - Low,57600,146228
INC12340093,Spotlight Service ,DB Farm - EM Prod,"DBA Spotlight LDN2WS014N02,51433  SQL Agent - Long Running Jobs (Percent) : Job DatabaseBackup - USER_DATABASES - LOG has been executing for 1 minute 30 sec",Database Administrators,,Closed,ldn2ws014n02,3 - Moderate,Closed,2025-01-10 02:57:11,2025-01-08 07:32:46,3 - Low,57600,156265
INC12339832,AppD Service,,AppDynamics has detected a problem with DB Server [GRDNJCCP1: njc1lx8001.corp.ad.tullib.com: 51521]. [Database Availability] started violating and is now [criti,Database Administrators,,Closed,njc1lx8001,3 - Moderate,Closed,2025-01-10 02:57:12,2025-01-08 06:57:24,3 - Low,57600,158388
INC12339831,AppD Service,,AppDynamics has detected a problem with DB Server [GRDNJCCP2: njc1lx8002.corp.ad.tullib.com: 51521]. [Database Availability] started violating and is now [criti,Database Administrators,,Closed,njc1lx8002,3 - Moderate,Closed,2025-01-10 02:57:02,2025-01-08 06:57:20,3 - Low,57600,158382
INC12339723,Spotlight Service ,DB Farm - AM Prod,"Spotlight notification for NJC1WS024N01,51433  SQL Agent - Long Running Jobs (Time) : Job Sync_AG has been executing for 31 minutes 20 seconds ",Database Administrators,,Closed,njc1ws024n01,3 - Moderate,Closed,2025-01-10 02:57:28,2025-01-08 06:32:38,3 - Low,57600,159890
INC12339686,Spotlight Service ,DB Farm - AM Prod,"Spotlight notification for NJC1WS024N01,51433  SQL Agent - Long Running Jobs (Percent) : Job Sync_AG has been executing for 6 minutes 20 seconds (242% of th",Database Administrators,,Closed,njc1ws024n01,3 - Moderate,Closed,2025-01-10 02:57:19,2025-01-08 06:07:36,3 - Low,57600,161383
INC12336170,Spotlight Service ,,"DBA Spotlight LDNPTRPDBLS2,51433  Availability Group - Failover Availability: Failover must be done manually ",Database Administrators,,Closed,,5 - Planning,Closed,2025-01-10 02:57:32,2025-01-08 05:27:44,3 - Low,57600,163788
INC12335624,Spotlight Service ,,"DBA Spotlight LDNPTRPDBLS1,51433  Availability Group - Failover Availability: Failover must be done manually ",Database Administrators,,Closed,,5 - Planning,Closed,2025-01-10 02:57:16,2025-01-08 05:24:34,3 - Low,57600,163962
INC12335605,Spotlight Service ,,"DBA Spotlight LDNPPVMTPDBLS1,51433  Availability Group - Failover Availability: Failover must be done manually ",Database Administrators,,Closed,,5 - Planning,Closed,2025-01-10 02:57:21,2025-01-08 05:24:31,3 - Low,57600,163970
INC12333312,AppD Service,,AppDynamics has detected a problem with DB Server [CRPNJCCP1: njc1lx8001.corp.ad.tullib.com: 51521]. [Database Availability] started violating and is now [criti,Database Administrators,,Closed,njc1lx8001,3 - Moderate,Closed,2025-01-10 02:56:52,2025-01-08 05:08:24,3 - Low,57600,164908
INC12333283,AppD Service,,AppDynamics has detected a problem with DB Server [CRPNJCCP2: njc1lx8002.corp.ad.tullib.com: 51521]. [Database Availability] started violating and is now [criti,Database Administrators,,Closed,njc1lx8002,3 - Moderate,Closed,2025-01-10 02:57:17,2025-01-08 05:08:20,3 - Low,57600,164937
INC12333139,Spotlight Service ,DB Farm - AM Prod,Spotlight notification for njc1ws014n01  Monitored Server - Windows Connection Failure: Cannot connect to Windows host 'njc1ws014n01' : The RPC server is un,Database Administrators,,Closed,njc1ws014n01,3 - Moderate,Closed,2025-01-10 02:57:32,2025-01-08 05:07:07,3 - Low,57600,165025
INC12332779,Spotlight Service ,DB Farm - AM Prod,"Spotlight notification for NJC1WS0008N01,51433  SQL Agent - Long Running Jobs (Time) : Job PopulateQMTradeDetail_DeNml has been executing for 33 minutes 44 ",Database Administrators,,Closed,njc1ws0008n01,3 - Moderate,Closed,2025-01-10 02:56:54,2025-01-08 05:04:01,3 - Low,57600,165173
INC12329648,Spotlight Service ,DB Farm - AM Prod,"Spotlight notification for njc1ws040n01,51433  SQL Agent - Long Running Jobs (Time) : Job IndexOptimize - USER_DATABASES has been executing for 34 minutes 5",Database Administrators,,Closed,njc1ws040n01,3 - Moderate,Closed,2025-01-10 02:56:57,2025-01-08 04:36:09,3 - Low,57600,166848
INC12329077,Spotlight Service ,DB Farm - AM Prod,"Spotlight notification for NJC2WS024N02,51433  SQL Agent - Long Running Jobs (Time) : Job DatabaseBackup - USER_DATABASES - FULL has been executing for 32 m",Database Administrators,,Closed,njc2ws024n02,3 - Moderate,Closed,2025-01-10 02:57:24,2025-01-08 04:33:21,3 - Low,57600,167043
INC12323679,Spotlight Service ,DB Farm - AM Prod,"Spotlight notification for njc1ws040n01,51433  SQL Agent - Long Running Jobs (Time) : Job DatabaseIntegrityCheck - USER_DATABASES has been executing for 34 ",Database Administrators,,Closed,njc1ws040n01,3 - Moderate,Closed,2025-01-08 04:18:27,2025-01-08 03:51:07,3 - Low,0,1640
INC12323534,Spotlight Service ,DB Farm - AM Prod,"Spotlight notification for NJC1WS004N01,51433  SQL Agent - Long Running Jobs (Time) : Job DatabaseIntegrityCheck - USER_DATABASES has been executing for 33 ",Database Administrators,,Closed,njc1ws004n01,3 - Moderate,Closed,2025-01-08 04:18:34,2025-01-08 03:49:50,3 - Low,0,1724
INC12323412,Spotlight Service ,DB Farm - AM Prod,Spotlight notification for njc1ws032n01  SQL Agent - Long Running Jobs (Time) : Job DatabaseIntegrityCheck - USER_DATABASES has been executing for 32 minute,Database Administrators,,Closed,njc1ws032n01,3 - Moderate,Closed,2025-01-08 04:18:28,2025-01-08 03:48:57,3 - Low,0,1771
INC12323411,Spotlight Service ,DB Farm - AM Prod,"Spotlight notification for njc2ws040n02,51433  SQL Agent - Long Running Jobs (Time) : Job DatabaseIntegrityCheck - USER_DATABASES has been executing for 32 ",Database Administrators,,Closed,njc2ws040n02,3 - Moderate,Closed,2025-01-08 04:18:38,2025-01-08 03:48:51,3 - Low,0,1787
INC12323410,Spotlight Service ,DB Farm - AM Prod,Spotlight notification for njc2ws032n02  SQL Agent - Long Running Jobs (Time) : Job DatabaseIntegrityCheck - USER_DATABASES has been executing for 32 minute,Database Administrators,,Closed,njc2ws032n02,3 - Moderate,Closed,2025-01-08 04:18:29,2025-01-08 03:48:38,3 - Low,0,1791
INC12323138,Spotlight Service ,DB Farm - AM Prod,"Spotlight notification for njc2ws004n02,51433  SQL Agent - Long Running Jobs (Time) : Job DatabaseIntegrityCheck - USER_DATABASES has been executing for 31 ",Database Administrators,,Closed,njc2ws004n02,3 - Moderate,Closed,2025-01-08 04:18:39,2025-01-08 03:47:22,3 - Low,0,1877
INC12307190,Spotlight Service ,tpRP - EM Prod,DBA Spotlight LDNRCAPPSQL1  SQL Agent - Long Running Jobs (Percent) : Job #998 - TPRP - TPXL - EMEA TMBS Trade Extract has been executing for 1 minute 16 se,Database Administrators,,Closed,ldnrcappsql1,3 - Moderate,Closed,2025-01-08 04:18:32,2025-01-08 02:02:32,3 - Low,0,8160
INC12303529,AppD Service,,AppDynamics has detected a problem with DB Server [DB_FixedIncome_DR_NJC2LX4929]. [MySQL Replication Seconds Behind Master] started violating and is now [critic,Database Administrators,,Closed,njc2lx4929,3 - Moderate,Closed,2025-01-08 04:18:41,2025-01-08 01:35:22,3 - Low,0,9799
INC12301501,AppD Service,,AppDynamics has detected a problem with DB Server [DB_FixedIncome_DR_NJC2LX1974]. [MySQL Replication Seconds Behind Master] upgraded in severity and is now [cri,Database Administrators,,Closed,njc2lx1974,3 - Moderate,Closed,2025-01-08 04:18:28,2025-01-08 01:20:20,3 - Low,0,10688
INC12301317,AppD Service,,AppDynamics has detected a problem with DB Server [DB_FixedIncome_DR_NJC2LX1974]. [MySQL Replication Seconds Behind Master] started violating and is now [warnin,Database Administrators,,Closed,njc2lx1974,5 - Planning,Closed,2025-01-08 04:18:30,2025-01-08 01:19:20,3 - Low,0,10750
INC12300754,Spotlight Service ,BRS - EM Prod,"DBA Spotlight LDN1WS003N01,51433  SQL Agent - Long Running Jobs (Percent) : Job DatabaseBackup - USER_DATABASES - LOG has been executing for 1 hour 12 minut",Database Administrators,,Closed,ldn1ws003n01,3 - Moderate,Closed,2025-01-08 04:18:37,2025-01-08 01:14:30,3 - Low,0,11047
INC12293675,Spotlight Service ,DB Farm - EM Prod,"DBA Spotlight LDN1WS042N01,51433  SQL Agent - Long Running Jobs (Percent) : Job DatabaseBackup - USER_DATABASES - LOG has been executing for 6 minutes 38 se",Database Administrators,,Closed,ldn1ws042n01,3 - Moderate,Closed,2025-01-08 04:18:27,2025-01-08 00:22:55,3 - Low,2225,14132
INC12291158,AppD Service,,AppDynamics has detected a problem with DB Server [Fusion 2 Islamic Finance]. [Database Availability] started violating and is now [critical].,Database Administrators,,Closed,,3 - Moderate,Closed,2025-01-08 04:18:30,2025-01-07 23:59:21,3 - Low,3639,15549
INC12286548,Spotlight Service ,DB Farm - AM Prod,"Spotlight notification for NJC2WS3463N02,51433  SQL Agent - Long Running Jobs (Percent) : Job DatabaseBackup - USER_DATABASES - LOG has been executing for 7",Database Administrators,,Closed,njc2ws3463n02,3 - Moderate,Closed,2025-01-08 04:18:30,2025-01-07 23:23:46,3 - Low,5774,17684
INC12284352,Spotlight Service ,DB Farm - EM Prod,"DBA Spotlight LDN1WS004N01,51433  SQL Agent - Long Running Jobs (Percent) : Job DatabaseBackup - USER_DATABASES - LOG has been executing for 4 minutes 38 se",Database Administrators,,Closed,ldn1ws004n01,3 - Moderate,Closed,2025-01-08 04:18:36,2025-01-07 23:05:52,3 - Low,6848,18764
INC12267053,Spotlight Service ,BRS - EM Prod,"DBA Spotlight LDN1WS003N01,51433  SQL Agent - Long Running Jobs (Percent) : Job AlwaysOn_ReportService_Start has been executing for 24 seconds (2400% of the",Database Administrators,,Closed,ldn1ws003n01,3 - Moderate,Closed,2025-01-08 04:18:32,2025-01-07 20:32:48,3 - Low,16032,27944
INC12224834,Spotlight Service ,DB Farm - AM Prod,"DBA Spotlight notification for NJC2WS0008N02,51433  SQL Agent - Jobs Failed: The SQL Agent Job 'DatabaseBackup - USER_DATABASES - LOG' failed 1 time bet",Database Administrators,,Closed,njc2ws0008n02,3 - Moderate,Closed,2025-01-08 04:18:41,2025-01-07 17:35:03,3 - Low,26697,38618
INC12218971,Spotlight Service ,DB Farm - EM Prod,"DBA Spotlight LDN1WS045N01,51433  SQL Agent - Long Running Jobs (Percent) : Job Refresh IR Materialised Template Views has been executing for 6 minutes 15 s",Database Administrators,,Closed,ldn1ws045n01,3 - Moderate,Closed,2025-01-08 04:18:30,2025-01-07 17:17:31,3 - Low,27749,39659
INC12149101,Spotlight Service ,DB Farm - AM Prod,DBA Spotlight notification for njc1ws012n01  SQL Agent - Jobs Failed: The SQL Agent Job 'DatabaseBackup - USER_DATABASES - LOG' failed 1 time between Tu,Database Administrators,,Closed,njc1ws012n01,3 - Moderate,Closed,2025-01-08 04:18:26,2025-01-07 12:32:34,3 - Low,28800,56752
INC12122811,Spotlight Service ,BRS - EM Prod,"DBA Spotlight LDN1WS003N01,51433  SQL Agent - Long Running Jobs (Percent) : Job #ETD_HUB_Parallel_Output_File has been executing for 10 minutes 31 seconds (",Database Administrators,,Closed,ldn1ws003n01,3 - Moderate,Closed,2025-01-08 04:18:35,2025-01-07 10:57:21,3 - Low,28800,62474
INC12115837,Spotlight Service ,DB Farm - AM Prod,DBA Spotlight notification for njc2ws004n02  Disks - Percentage Used: Disk E: is 86.47% full. ,Database Administrators,,Closed,njc2ws004n02,3 - Moderate,Closed,2025-01-08 04:18:39,2025-01-07 10:33:21,3 - Low,28800,63918
INC12115824,Spotlight Service ,DB Farm - AM Prod,"Spotlight notification for NJC2WS024N02,51433  SQL Agent - Long Running Jobs (Time) : Job DatabaseBackup - USER_DATABASES - FULL has been executing for 6 ho",Database Administrators,,Closed,njc2ws024n02,3 - Moderate,Closed,2025-01-08 04:18:37,2025-01-07 10:33:18,3 - Low,28800,63919
INC12115801,Spotlight Service ,DB Farm - AM Prod,DBA Spotlight notification for NJC1WS004N01  Disks - Percentage Used: Disk E: is 87.45% full. ,Database Administrators,,Closed,njc1ws004n01,3 - Moderate,Closed,2025-01-08 04:18:31,2025-01-07 10:33:14,3 - Low,28800,63917
INC12112290,Spotlight Service ,BRS - EM Prod,"DBA Spotlight LDN1WS003N01,51433  SQL Agent - Long Running Jobs (Percent) : Job #ETD_HUB_Parallel_Run has been executing for 10 minutes 54 seconds (2109% of",Database Administrators,,Closed,ldn1ws003n01,3 - Moderate,Closed,2025-01-08 04:18:29,2025-01-07 10:21:54,3 - Low,28800,64595
INC12101504,Spotlight Service ,DB Farm - AM Prod,Spotlight notification for njc1ws014n01  Monitored Server - Windows Connection Failure: Cannot connect to Windows host 'njc1ws014n01' : The RPC server is un,Database Administrators,,Closed,njc1ws014n01,3 - Moderate,Closed,2025-01-08 04:18:38,2025-01-07 09:37:03,3 - Low,28800,67295
INC12086013,Spotlight Service ,DB Farm - EM Prod,"DBA Spotlight LDN2WS014N02,51433  SQL Agent - Long Running Jobs (Percent) : Job DatabaseBackup - USER_DATABASES - LOG has been executing for 1 minute 28 sec",Database Administrators,,Closed,ldn2ws014n02,3 - Moderate,Closed,2025-01-08 04:18:34,2025-01-07 07:02:51,3 - Low,28800,76543
INC12085864,Spotlight Service ,DB Farm - AM Prod,"Spotlight notification for NJC1WS0008N01,51433  SQL Agent - Long Running Jobs (Time) : Job PopulateQMTradeDetail_DeNml has been executing for 30 minutes 38 ",Database Administrators,,Closed,njc1ws0008n01,3 - Moderate,Closed,2025-01-08 04:18:36,2025-01-07 06:38:56,3 - Low,28800,77980
INC12085819,Spotlight Service ,DB Farm - EM Prod,"DBA Spotlight LDN1WS039N03,51433  SQL Agent - Long Running Jobs (Percent) : Job SALT - Transfer ICE trade capture reports has been executing for 1 minute 5 ",Database Administrators,,Closed,ldn1ws039n03,3 - Moderate,Closed,2025-01-08 04:18:39,2025-01-07 06:02:36,3 - Low,28800,80163
INC12085776,Spotlight Service ,,"DBA Spotlight LDNPTRPDBLS2,51433  Availability Group - Failover Availability: Failover must be done manually ",Database Administrators,,Closed,,5 - Planning,Closed,2025-01-07 05:58:26,2025-01-07 05:42:39,3 - Low,0,947
INC12085774,Spotlight Service ,,"DBA Spotlight LDNPTRPDBLS1,51433  Availability Group - Failover Availability: Failover must be done manually ",Database Administrators,,Closed,,5 - Planning,Closed,2025-01-07 05:58:26,2025-01-07 05:39:30,3 - Low,0,1136
INC12085773,Spotlight Service ,,"DBA Spotlight LDNPPVMTPDBLS1,51433  Availability Group - Failover Availability: Failover must be done manually ",Database Administrators,,Closed,,5 - Planning,Closed,2025-01-07 05:58:22,2025-01-07 05:39:28,3 - Low,0,1134
INC12085763,Spotlight Service ,DB Farm - EM Prod,"DBA Spotlight LDN1WS064N01,51433  SQL Agent - Long Running Jobs (Percent) : Job IndexOptimize - USER_DATABASES has been executing for 1 day 7 hours (1800% o",Database Administrators,,Closed,ldn1ws064n01,3 - Moderate,Closed,2025-01-07 05:58:35,2025-01-07 05:29:55,3 - Low,0,1720
INC12079857,Spotlight Service ,DB Farm - AM Prod,"Spotlight notification for NJC1WS3463N01,51433  SQL Agent - Long Running Jobs (Time) : Job DatabaseBackup - USER_DATABASES - FULL has been executing for 32 ",Database Administrators,,Closed,njc1ws3463n01,3 - Moderate,Closed,2025-01-07 05:58:23,2025-01-07 04:34:04,3 - Low,0,5059
INC12079814,Spotlight Service ,DB Farm - AM Prod,"Spotlight notification for NJC1WS0008N01,51433  SQL Agent - Long Running Jobs (Time) : Job DatabaseBackup - USER_DATABASES - FULL has been executing for 32 ",Database Administrators,,Closed,njc1ws0008n01,3 - Moderate,Closed,2025-01-07 05:58:23,2025-01-07 04:33:55,3 - Low,0,5068
INC12079803,Spotlight Service ,DB Farm - AM Prod,"Spotlight notification for njc1ws005n01,51433  SQL Agent - Long Running Jobs (Time) : Job DatabaseBackup - USER_DATABASES - FULL has been executing for 32 m",Database Administrators,,Closed,njc1ws005n01,3 - Moderate,Closed,2025-01-07 05:58:28,2025-01-07 04:33:52,3 - Low,0,5076
INC12079748,Spotlight Service ,DB Farm - AM Prod,"Spotlight notification for NJC2WS024N02,51433  SQL Agent - Long Running Jobs (Time) : Job DatabaseBackup - USER_DATABASES - FULL has been executing for 32 m",Database Administrators,,Closed,njc2ws024n02,3 - Moderate,Closed,2025-01-07 05:58:25,2025-01-07 04:33:17,3 - Low,0,5108
INC12074194,Spotlight Service ,DB Farm - AM Prod,"Spotlight notification for njc1ws040n01,51433  SQL Agent - Long Running Jobs (Time) : Job DatabaseIntegrityCheck - USER_DATABASES has been executing for 34 ",Database Administrators,,Closed,njc1ws040n01,3 - Moderate,Closed,2025-01-07 05:58:20,2025-01-07 03:50:52,3 - Low,0,7648
INC12073958,Spotlight Service ,DB Farm - AM Prod,"Spotlight notification for NJC1WS004N01,51433  SQL Agent - Long Running Jobs (Time) : Job DatabaseIntegrityCheck - USER_DATABASES has been executing for 33 ",Database Administrators,,Closed,njc1ws004n01,3 - Moderate,Closed,2025-01-07 05:58:24,2025-01-07 03:49:42,3 - Low,0,7722
INC12073844,Spotlight Service ,DB Farm - AM Prod,Spotlight notification for njc1ws032n01  SQL Agent - Long Running Jobs (Time) : Job DatabaseIntegrityCheck - USER_DATABASES has been executing for 32 minute,Database Administrators,,Closed,njc1ws032n01,3 - Moderate,Closed,2025-01-07 05:58:35,2025-01-07 03:48:57,3 - Low,0,7778
INC12073811,Spotlight Service ,DB Farm - AM Prod,"Spotlight notification for njc2ws040n02,51433  SQL Agent - Long Running Jobs (Time) : Job DatabaseIntegrityCheck - USER_DATABASES has been executing for 32 ",Database Administrators,,Closed,njc2ws040n02,3 - Moderate,Closed,2025-01-07 05:58:37,2025-01-07 03:48:50,3 - Low,0,7787
INC12073810,Spotlight Service ,DB Farm - AM Prod,Spotlight notification for njc2ws032n02  SQL Agent - Long Running Jobs (Time) : Job DatabaseIntegrityCheck - USER_DATABASES has been executing for 32 minute,Database Administrators,,Closed,njc2ws032n02,3 - Moderate,Closed,2025-01-07 05:58:31,2025-01-07 03:48:35,3 - Low,0,7796
INC12073531,Spotlight Service ,DB Farm - AM Prod,"Spotlight notification for njc2ws004n02,51433  SQL Agent - Long Running Jobs (Time) : Job DatabaseIntegrityCheck - USER_DATABASES has been executing for 31 ",Database Administrators,,Closed,njc2ws004n02,3 - Moderate,Closed,2025-01-07 05:58:32,2025-01-07 03:47:21,3 - Low,0,7871
INC12053069,AppD Service,,AppDynamics has detected a problem with DB Server [DB_FixedIncome_DR_NJC2LX4929]. [MySQL Replication Seconds Behind Master] started violating and is now [critic,Database Administrators,,Closed,njc2lx4929,3 - Moderate,Closed,2025-01-07 05:58:37,2025-01-07 01:35:18,3 - Low,0,15799
INC12050753,AppD Service,,AppDynamics has detected a problem with DB Server [DB_FixedIncome_DR_NJC2LX1974]. [MySQL Replication Seconds Behind Master] upgraded in severity and is now [cri,Database Administrators,,Closed,njc2lx1974,3 - Moderate,Closed,2025-01-07 05:58:26,2025-01-07 01:20:18,3 - Low,0,16688
INC12050692,AppD Service,,AppDynamics has detected a problem with DB Server [DB_FixedIncome_DR_NJC2LX1974]. [MySQL Replication Seconds Behind Master] started violating and is now [warnin,Database Administrators,,Closed,njc2lx1974,5 - Planning,Closed,2025-01-07 05:58:39,2025-01-07 01:19:19,3 - Low,0,16760
INC12050110,Spotlight Service ,BRS - EM Prod,"DBA Spotlight LDN1WS003N01,51433  SQL Agent - Long Running Jobs (Percent) : Job DatabaseBackup - USER_DATABASES - LOG has been executing for 1 hour 13 minut",Database Administrators,,Closed,ldn1ws003n01,3 - Moderate,Closed,2025-01-07 05:58:24,2025-01-07 01:15:25,3 - Low,0,16979
INC12049598,Spotlight Service ,,"DBA Spotlight LDNPSHRDBLS5,51433  Availability Group - Failed Over: The availability group has failed over from LDN1WS075N01 to there is no data in the host",Database Administrators,,Closed,,5 - Planning,Closed,2025-01-07 05:58:33,2025-01-07 01:12:25,3 - Low,0,17168
INC12042723,Spotlight Service ,DB Farm - AM Prod,"Spotlight notification for NJC2WS3463N02,51433  SQL Agent - Long Running Jobs (Percent) : Job DatabaseBackup - USER_DATABASES - LOG has been executing for 7",Database Administrators,,Closed,njc2ws3463n02,3 - Moderate,Closed,2025-01-07 05:58:29,2025-01-07 00:23:45,3 - Low,2175,20084
INC12042722,Spotlight Service ,DB Farm - EM Prod,"DBA Spotlight LDN1WS042N01,51433  SQL Agent - Long Running Jobs (Percent) : Job DatabaseBackup - USER_DATABASES - LOG has been executing for 6 minutes 35 se",Database Administrators,,Closed,ldn1ws042n01,3 - Moderate,Closed,2025-01-07 05:58:33,2025-01-07 00:22:54,3 - Low,2226,20139
INC12042116,Spotlight Service ,DB Farm - AM Prod,"Spotlight notification for NJC2WS0008N02,51433  SQL Agent - Long Running Jobs (Percent) : Job DatabaseBackup - USER_DATABASES - LOG has been executing for 3",Database Administrators,,Closed,njc2ws0008n02,3 - Moderate,Closed,2025-01-07 05:58:30,2025-01-07 00:19:53,3 - Low,2407,20317
INC12040719,Spotlight Service ,DB Farm - EM Prod,"DBA Spotlight LDN1WS045N01,51433  SQL Agent - Long Running Jobs (Percent) : Job DatabaseBackup - USER_DATABASES - LOG has been executing for 6 minutes 12 se",Database Administrators,,Closed,ldn1ws045n01,3 - Moderate,Closed,2025-01-07 05:58:27,2025-01-07 00:07:29,3 - Low,3151,21058
INC12030959,Spotlight Service ,DB Farm - EM Prod,"DBA Spotlight LDN1WS004N01,51433  SQL Agent - Long Running Jobs (Percent) : Job DatabaseBackup - USER_DATABASES - LOG has been executing for 4 minutes 23 se",Database Administrators,,Closed,ldn1ws004n01,3 - Moderate,Closed,2025-01-07 05:58:25,2025-01-06 22:50:39,3 - Low,7761,25666
INC12029165,Spotlight Service ,DB Farm - AM Prod,"DBA Spotlight notification for NJC2WS0008N02,51433  SQL Agent - Jobs Failed: The SQL Agent Job 'DatabaseBackup - USER_DATABASES - LOG' failed 1 time bet",Database Administrators,,Closed,njc2ws0008n02,3 - Moderate,Closed,2025-01-07 05:58:40,2025-01-06 22:35:00,3 - Low,8700,26620
INC12013760,Spotlight Service ,DB Farm - AP Prod,"DBA Spotlight KUL1WS001N01,51433  SQL Agent - Long Running Jobs (Percent) : Job DatabaseBackup - USER_DATABASES - LOG has been executing for 2 minutes 6 sec",Database Administrators,,Closed,kul1ws001n01,3 - Moderate,Closed,2025-01-07 05:58:19,2025-01-06 20:18:25,3 - Low,16895,34794
INC11966223,Spotlight Service ,tpRP - EM Prod,DBA Spotlight LDNRCAPPSQL1  SQL Agent - Long Running Jobs (Percent) : Job #998 – TPRP_NA - TPXL – NA NJ400 MBS Trade Extracts has been executing for 39 seco,Database Administrators,,Closed,ldnrcappsql1,3 - Moderate,Closed,2025-01-07 05:58:22,2025-01-06 17:33:55,3 - Low,26765,44667
INC11961649,Spotlight Service ,DB Farm - AM Prod,"DBA Spotlight notification for NJC2WS0008N02,51433  SQL Agent - Jobs Failed: The SQL Agent Job 'AlwaysOn_ReportService_Stop' failed 5 times between Mond",Database Administrators,,Closed,njc2ws0008n02,3 - Moderate,Closed,2025-01-07 05:58:39,2025-01-06 17:20:13,3 - Low,27587,45506
INC11961289,Spotlight Service ,DB Farm - AM Prod,"DBA Spotlight notification for NJC1WS0008N01,51433  SQL Agent - Jobs Failed: The SQL Agent Job 'AlwaysOn_ReportService_Start' failed 5 times between Mon",Database Administrators,,Closed,njc1ws0008n01,3 - Moderate,Closed,2025-01-07 05:58:24,2025-01-06 17:19:32,3 - Low,27628,45532
INC11960976,Spotlight Service ,DB Farm - AM Prod,"DBA Spotlight notification for njc1ws043n01,51433  SQL Agent - Jobs Failed: The SQL Agent Job 'AlwaysOn_ReportService_Stop' failed 3 times and succeeded 2 t",Database Administrators,,Closed,njc1ws043n01,3 - Moderate,Closed,2025-01-07 05:58:21,2025-01-06 17:17:43,3 - Low,27737,45638
INC11960691,Spotlight Service ,DB Farm - EM Prod,"DBA Spotlight LDN1WS045N01,51433  SQL Agent - Long Running Jobs (Percent) : Job Refresh IR Materialised Template Views has been executing for 5 minutes 43 s",Database Administrators,,Closed,ldn1ws045n01,3 - Moderate,Closed,2025-01-07 05:58:33,2025-01-06 17:17:03,3 - Low,27777,45690
INC11939676,Spotlight Service ,DB Farm - EM Prod,"Spotlight notification for LDN1WS068N01,51433  Monitored Server - SQL Server Secondary Connection Failure: Connection 'SQLServerXEventsChannel' failed to co",Database Administrators,,Closed,ldn1ws068n01,3 - Moderate,Closed,2025-01-07 05:58:39,2025-01-06 16:00:42,3 - Low,28800,50277
INC11936801,Spotlight Service ,,"DBA Spotlight LDNPDISDBLS1,51433  Replication - Subscription Failure: Subscription [LDNPSRDDBLS1,51433].[SRD2] has failed ",Database Administrators,,Closed,,5 - Planning,Closed,2025-01-07 05:58:24,2025-01-06 15:48:40,3 - Low,28800,50984
INC11936727,Spotlight Service ,,"DBA Spotlight LDNPDISDBLS1,51433  Replication - Publisher Failure: Publisher EUW1WS009N01 has failed ",Database Administrators,,Closed,,5 - Planning,Closed,2025-01-07 05:58:29,2025-01-06 15:48:32,3 - Low,28800,50997
INC11936696,Spotlight Service ,,"DBA Spotlight LDNPDISDBLS1,51433  Replication - Distribution Agent Failure: Distribution agent EUW1WS009N01-INSTRUMENT-IRS Instruments-LDNPSRDDBLS1,51433-31",Database Administrators,,Closed,,5 - Planning,Closed,2025-01-07 05:58:28,2025-01-06 15:48:27,3 - Low,28800,51001
INC11936605,Spotlight Service ,,"DBA Spotlight LDNPDISDBLS1,51433  Replication - Publication Failure: Publication [INSTRUMENT_INST]: IRS Instruments has failed ",Database Administrators,,Closed,,5 - Planning,Closed,2025-01-07 05:58:40,2025-01-06 15:48:15,3 - Low,28800,51025
INC11932909,AppD Service,,AppDynamics has detected a problem with DB Server [CRPNJCCP1: njc1lx8001.corp.ad.tullib.com: 51521]. [Database Availability] started violating and is now [criti,Database Administrators,,Closed,njc1lx8001,3 - Moderate,Closed,2025-01-07 05:58:30,2025-01-06 15:35:23,3 - Low,28800,51787
INC11932862,AppD Service,,AppDynamics has detected a problem with DB Server [CRPNJCCP2: njc1lx8002.corp.ad.tullib.com: 51521]. [Database Availability] started violating and is now [criti,Database Administrators,,Closed,njc1lx8002,3 - Moderate,Closed,2025-01-07 05:58:35,2025-01-06 15:35:18,3 - Low,28800,51797
