Netbios Name,Patched,Engineer,Asset Name,IP Addresses,Operating System Category,OS,Operating System Version,Operating System Lifecycle Stage,Time Zone,Last System Boot,Last Logged-In User
LDNPINFBES06,Phase 4,TBA,LDNPINFBES06,"172.17.0.1,10.73.37.44",Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 64-Bit,6.3,EOL,UTC,2022-11-05T02:22:22Z,CORP.AD.TULLIB.COM\mmanikan-a
EC2AMAZ-8JM37AI,#N/A,#N/A,EC2AMAZ-8JM37AI,"fe80:0:0:0:fca8:5e5:4258:c51d,10.20.6.67",Windows / Server,Microsoft Windows Server 2016 Datacenter 1607 Build 14393.5125 64-Bit,1607,EOL,UTC,2023-01-15T23:40:35Z,Administrator
NJ1PBCITXAPP05,Phase 4,TBA,nj1pbcitxapp05.LNHOLDINGS.com,"172.18.121.155,fe80:0:0:0:3dd5:f433:ff7c:e548",Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20478 64-Bit,6.3,EOL,'-05:00,2022-11-05T14:10:52Z,lnholdings\mxy1berquist
NJCPDNAAPP02,Phase 4,TBA,NJCPDNAAPP02,10.137.48.29,Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20478 64-Bit,6.3,EOL,'-05:00,2022-12-16T07:34:06Z,CORP.AD.TULLIB.COM\NJCPDNAAPP02admin
USHSEXHUBS01,#N/A,#N/A,USHSEXHUBS01.us.icap.com,"10.1.31.53,fe80:0:0:0:602d:70d9:d6d5:e511,10.1.31.51",Windows / Server,Microsoft Windows Server 2008 R2 Standard 6.1 SP1 64-Bit,6.1,EOL/EOS,'-05:00,2022-07-17T21:39:47Z,US\exchadmin
VA1CVCOG05,Phase 4,TBA,VA1CVCOG05.lnholdings.com,"fe80:0:0:0:d9f2:24d8:f907:6ad1,10.79.107.118",Windows / Server,Microsoft Windows Server 2019 Standard 1809 Build 17763.3532 64-Bit,1809,GA,'-05:00,2022-10-29T04:13:40Z,LNHOLDINGS\ptses
NJCPTRCSVR03,Phase 3,JV,NJCPTRCSVR03,10.138.32.141,Windows / Server,Microsoft Windows Server 2019 Standard 1809 64-Bit,1809,GA,'-05:00,2023-01-21T21:26:30Z,Administrator
NJC2WS6909,#N/A,#N/A,NJC2WS6909,10.160.72.211,Windows / Server,Microsoft Windows Server 2019 Datacenter 1809 Build 17763.2114 64-Bit,1809,GA,'-12:00,2023-01-11T07:10:59Z,Administrator
LDN1WS9876,Phase 3,Pat,LDN1WS9876,10.90.80.32,Windows / Server,Microsoft Windows Server 2016 Standard 1607 Build 14393 64-Bit,1607,EOL,UTC,2022-10-29T05:52:04Z,Administrator
LDNPBTTRVR01,#N/A,#N/A,LDNPBTTRVR01,10.74.28.33,Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20269 64-Bit,6.3,EOL,UTC,2022-06-26T08:04:33Z,CORP.AD.TULLIB.COM\corp da 8
US01WGUILBN01P,Phase 4,TBA,US01WGUILBN01P.global.icap.com,10.10.48.132,Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20478 64-Bit,6.3,EOL,'-05:00,2022-11-05T08:54:06Z,US.ICAP.COM\bossrv
NJ1PVALDNFI02,Phase 4,TBA,nj1pvaldnfi02.lnholdings.com,"172.18.104.94,fe80:0:0:0:8cdb:94c4:b990:a2fc",Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20478 64-Bit,6.3,EOL,'-05:00,2022-11-05T00:25:28Z,corp.ad.tullib.com\lsingh
NJCPEGTGWY05,#N/A,#N/A,NJCPEGTGWY05,10.148.32.40,Windows / Server,Microsoft Windows Server 2008 R2 Standard 6.1 SP1 Build 7601.24544,6.1,EOL/EOS,'-05:00,2022-10-01T02:40:30Z,AMERLDMA
BAHPVARAPP01,Phase 3,Jeff,BAHPVARAPP01,10.125.38.6,Windows / Server,Microsoft Windows Server 2019 Standard 1809 64-Bit,1809,GA,UTC,2022-10-29T03:09:23Z,Administrator
NJ1PVCITXVDC01,Phase 3,Emmanuel,nj1pvcitxvdc01.LNHOLDINGS.com,"172.18.121.166,fe80:0:0:0:2895:e0f7:de4b:cd30",Windows / Server,Microsoft Windows Server 2019 Standard 1809 Build 17763.2565 64-Bit,1809,GA,'-05:00,2022-05-21T09:36:57Z,mderho
NJGCDDEMOSQL01,#N/A,#N/A,NJGCDDEMOSQL01,10.137.64.83,Windows / Server,Microsoft Windows Server 2008 R2 Standard 6.1 SP1 Build 7601.25924,6.1,EOL/EOS,'-05:00,2022-12-16T08:41:03Z,NA\!cvladmin
AU01WGUIAPP04P,Phase 4,TBA,AU01WGUIAPP04P,10.241.32.27,Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20625 64-Bit,6.3,EOL,'+08:00,2022-11-05T03:56:19Z,GLOBAL.ICAP.COM\srvcsydgui
SNGPINFDCA02,Phase 3,Pat,SNGPINFDCA02,10.202.33.73,Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 64-Bit,6.3,EOL,'+08:00,2022-10-14T16:42:58Z,global.icap.com\GBL
US00WDTCAPP01S,#N/A,#N/A,US00WDTCAPP01S,10.1.43.33,Windows / Server,Microsoft Windows Server 2008 R2 Standard 6.1 SP1 Build 7601.24544,6.1,EOL/EOS,'-05:00,2022-12-16T08:39:21Z,us\administrator
US00WDTCAPP02S,#N/A,#N/A,US00WDTCAPP02S.us.icap.com,10.1.58.70,Windows / Server,Microsoft Windows Server 2008 R2 Standard 6.1 SP1 Build 7601.25796 64-Bit,6.1,EOL/EOS,'-05:00,2022-12-16T08:39:24Z,us\administrator
VA1CUHYPERV1N02,Phase 4,TBA,VA1CUHYPERV1N02.LNHOLDINGS.com,"fe80:0:0:0:5d3c:9cdb:d275:999c,192.168.254.182,169.254.234.221,169.254.1.238,fe80:0:0:0:d839:4a2e:321d:87c2,10.79.254.183,10.79.254.182,169.254.153.156",Windows / Server,Microsoft Windows Server 2012 R2 Datacenter 6.3 Build 9600.20478 64-Bit,6.3,EOL,'-05:00,2022-11-19T21:25:31Z,LNHOLDINGS.COM\LN DA 1
NJC1WS2277,#N/A,#N/A,NJC1WS2277,10.161.72.70,Windows / Server,Microsoft Windows Server 2019 Datacenter 1809 64-Bit,1809,GA,'-05:00,2023-01-10T09:29:46Z,Administrator
USNJMISP1,#N/A,#N/A,USNJMISP1,10.10.48.39,Windows / Server,Microsoft Windows Server 2008 R2 Standard 6.1 SP1 Build 7601.25712 64-Bit,6.1,EOL/EOS,'-05:00,2022-02-26T10:25:53Z,Administrator
NJ1CLYNCEDGE02,#N/A,#N/A,nj1clyncedge02.lnholdings.com,"216.131.32.124,216.131.32.119,216.131.32.126,10.78.255.96",Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 64-Bit,6.3,EOL,'-05:00,2022-11-05T16:57:10Z,administrator
USEDESXVC01,#N/A,#N/A,USEDESXVC01,10.10.48.46,Windows / Server,Microsoft Windows Server 2008 R2 Standard 6.1 SP1 64-Bit,6.1,EOL/EOS,'-05:00,2022-03-12T17:10:44Z,US\administrator
NY0IMP01,#N/A,#N/A,ny0imp01,10.68.102.46,Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20371 64-Bit,6.3,EOL,'-05:00,2022-06-11T04:27:02Z,mderho
NJC2WS2570,Phase 4,TBA,NJC2WS2570,10.160.72.37,Windows / Server,Microsoft Windows Server 2019 Datacenter 1809 Build 17763.3532 64-Bit,1809,GA,'-05:00,2022-11-05T12:47:09Z,Administrator
UK1PVFLEX01,#N/A,#N/A,uk1pvflex01.lnholdings.com,"172.23.104.42,fe80:0:0:0:d53f:61e9:b3a3:bb1b",Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20478 64-Bit,6.3,EOL,'-05:00,2022-10-29T04:11:58Z,LNHOLDINGS.COM\m_huertas
NJ1PVBBERG12,Phase 4,TBA,nj1pvbberg12.lnholdings.com,"fe80:0:0:0:6cdb:444a:1225:8d09,172.18.104.96",Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20478 64-Bit,6.3,EOL,'-05:00,2022-11-05T00:20:44Z,CORP\lsingh
NJCPTBPBLD02,Phase 3,John,NJCPTBPBLD02,10.137.48.48,Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20371 64-Bit,6.3,EOL,'-05:00,2023-01-18T18:36:36Z,NJCPTBPBLD02\NAEBsysadmin
UK1CVSAFENET01,#N/A,#N/A,uk1cvsafenet01.lnholdings.com,10.73.100.58,Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20478 64-Bit,6.3,EOL,'-05:00,2022-11-05T00:20:31Z,LNHOLDINGS.COM\jhilaire
UK1PUUAS03,Phase 3,Jeff,UK1PUUAS03,"fe80:0:0:0:5d9f:6052:5c27:b70b,fe80:0:0:0:2465:f9c4:2e5e:cb98,169.254.183.11,172.23.121.55,172.23.121.50",Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 64-Bit,6.3,EOL,UTC,2023-01-21T07:24:43Z,otas
NJTAILORSRC02,#N/A,#N/A,NJTAILORSRC02.na.ad.tullib.com,10.138.48.69,Windows / Server,Microsoft Windows Server 2008 R2 Enterprise 6.1 SP1 64-Bit,6.1,EOL/EOS,'-05:00,2022-06-11T12:49:03Z,NA.AD.TULLIB.COM\NJTAILORSRC02admin
PVMLONALERT01C,#N/A,#N/A,PVMLONALERT01C.corp.ad.tullib.com,10.72.40.101,Windows / Server,Microsoft Windows Server 2008 R2 Standard 6.1 SP1 Build 7601.24544,6.1,EOL/EOS,UTC,2023-01-03T08:35:46Z,CORP\inavarrete-a
USHSWORMDBS1,#N/A,#N/A,USHSWORMDBS1,10.1.59.139,Windows / Server,Microsoft Windows Server 2008 R2 Standard 6.1 SP1 64-Bit,6.1,EOL/EOS,'-05:00,2022-12-16T04:16:25Z,us\administrator
USA1WS0001,Phase 3,JV,USA1WS0001.corp.ad.tullib.com,"169.254.2.140,10.137.36.151",Windows / Server,Microsoft Windows Server 2016 Standard 1607 Build 14393.5427 64-Bit,1607,EOL,UTC,2022-12-16T07:34:28Z,CORP\scostuna-a
LDNPINFWAP01,Phase 3,Jeff,LDNPINFWAP01.eur.ad.tullib.com,10.72.32.31,Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20625 64-Bit,6.3,EOL,UTC,2022-10-29T03:26:01Z,EUR.AD.TULLIB.COM\AStenhouse-a
USHSSFINMIR09,#N/A,#N/A,USHSSFINMIR09,10.1.59.151,Windows / Server,Microsoft Windows Server 2008 R2 Standard 6.1 SP1 Build 7601.25829,6.1,EOL/EOS,'-05:00,2022-12-16T08:37:37Z,AMERLPESA
NJ1DVATSBLD02,Phase 2,Emmanuel,nj1dvatsbld02.lnholdings.com,10.68.102.143,Windows / Server,Microsoft Windows Server 2019 Standard 1809 64-Bit,1809,GA,'-05:00,2023-01-23T21:37:08Z,LNHOLDINGS\pgtses
SNGPPVMAPP02,Phase 4,TBA,SNGPPVMAPP02,10.203.32.46,Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20625 64-Bit,6.3,EOL,'+08:00,2022-11-04T19:44:52Z,global.icap.com\svc_analyticssng
NJ1PVWINRIO01,Phase 4,TBA,nj1pvwinrio01.lnholdings.com,"172.18.110.110,fe80:0:0:0:cc51:ded1:1bc9:8475",Windows / Server,Microsoft Windows Server 2012 Standard 6.2 Build 9200.23771 64-Bit,6.2,EOL,'-05:00,2022-11-05T15:55:50Z,LNHOLDINGS.COM\LN DA 2
NJ1CNETMGMT02,Phase 4,TBA,NJ1CNETMGMT02.lnholdings.com,10.78.254.70,Windows / Server,Microsoft Windows Server 2019 Standard 1809 Build 17763.3532 64-Bit,1809,GA,'-05:00,2022-11-05T00:28:17Z,Administrator
SNGPINFDCG03,Phase 4,TBA,SNGPINFDCG03.corp.ad.tullib.com,10.202.36.32,Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20478 64-Bit,6.3,EOL,'+08:00,2022-10-23T14:27:12Z,CORP.AD.TULLIB.COM\corp da 3
NJCQTBPBLD04,Phase 2,John,NJCQTBPBLD04,10.137.64.28,Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20478 64-Bit,6.3,EOL,'-05:00,2023-01-14T14:30:38Z,NA.AD.TULLIB.COM\jestropigan-a
UK1PVOMSI01,#N/A,#N/A,UK1PVOMSI01.lnholdings.com,172.23.104.35,Windows / Server,Microsoft Windows Server 2019 Standard 1809 Build 17763.3532 64-Bit,1809,GA,UTC,2022-11-05T00:30:27Z,mderho
NJCPUFICSS04,Phase 4,TBA,NJCPUFICSS04.na.cipn.com,10.144.32.28,Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20478 64-Bit,6.3,EOL,'-05:00,2022-12-16T07:36:42Z,NAEBSysAdmin
SNGEXGCAS1,#N/A,#N/A,SNGEXGCAS1,10.202.37.21,Windows / Server,Microsoft Windows Server 2008 R2 Enterprise 6.1 SP1 64-Bit,6.1,EOL/EOS,'+08:00,2023-01-03T06:14:30Z,APAC\wtan_admin
NY1CVDC02,Phase 3,Emmanuel,NY1CVDC02.lnholdings.com,10.1.100.43,Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 64-Bit,6.3,EOL,'-05:00,2022-11-05T05:40:38Z,LNHOLDINGS.COM\LN
LDNPSPKSHD05,#N/A,#N/A,LDNPSPKSHD05.eur.ad.tullib.com,10.74.40.142,Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20625 64-Bit,6.3,EOL,UTC,2022-10-29T03:14:52Z,EUR.AD.TULLIB.COM\EUR PMS
NJ1QVRDGWY01,Phase 2,Reggie,nj1qvrdgwy01.LNHOLDINGS.com,"10.78.100.201,fe80:0:0:0:2d1f:6fb0:963f:ee44",Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20478 64-Bit,6.3,EOL,'-05:00,2022-07-16T19:36:08Z,LNHOLDINGS.COM\jhilaire
AU0PSTAOMSI04,Phase 4,TBA,AU0PSTAOMSI04.lnholdings.com,"fe80:0:0:0:1096:484d:6d6a:3d61,10.242.32.165",Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20478 64-Bit,6.3,EOL,'+11:00,2022-10-29T14:26:21Z,LNHOLDINGS.COM\LN PMS
US01WENGSQL01S,#N/A,#N/A,US01WENGSQL01S.us.icap.com,"10.10.48.201,10.10.48.84,169.254.1.74,fe80:0:0:0:35c9:d252:e27f:3ba6",Windows / Server,Microsoft Windows Server 2008 R2 Enterprise 6.1 SP1 Build 7601.25712,6.1,EOL/EOS,'-05:00,2022-02-26T02:45:56Z,US.ICAP.COM\administrator
NJCPSOMSVR01,#N/A,#N/A,NJCPSOMSVR01,10.138.32.37,Windows / Server,Microsoft Windows Server 2008 R2 Standard 6.1 SP1 Build 7601.25829,6.1,EOL/EOS,'-05:00,2022-02-26T14:55:02Z,NA.AD.TULLIB.COM\!emcsoprim
LDNPINFADM02,#N/A,#N/A,LDNPINFADM02.eur.ad.tullib.com,10.73.40.75,Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20478 64-Bit,6.3,EOL,UTC,2022-07-13T07:19:25Z,CORP.AD.TULLIB.COM\SDugan-a
NJCPINFADM05,Phase 3,John,NJCPINFADM05.corp.ad.tullib.com,10.138.32.54,Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20478 64-Bit,6.3,EOL,'-05:00,2022-10-29T17:13:15Z,CORP.AD.TULLIB.COM\mbindoy-a
SNG1WS0009,Phase 3,Mike,SNG1WS0009,10.202.32.173,Windows / Server,Microsoft Windows Server 2019 Standard 1809 Build 17763.3532 64-Bit,1809,GA,'+08:00,2022-10-28T22:04:50Z,CORP\rviray-a
SNGPVBRVPX01,Phase 4,TBA,SNGPVBRVPX01,10.202.32.71,Windows / Server,Microsoft Windows Server 2019 Standard 1809 64-Bit,1809,GA,'+08:00,2022-11-05T02:03:26Z,CORP\jmcruz-a
SNGPLNEAPP03,Phase 4,TBA,SNGPLNEAPP03,10.202.32.48,Windows / Server,Microsoft Windows Server 2019 Standard 1809 Build 17763.3532 64-Bit,1809,GA,'+08:00,2022-11-04T19:53:36Z,CORP\rviray-a
SG1STOKMBS01,Phase 4,TBA,SG1STOKMBS01,10.202.34.30,Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20371 64-Bit,6.3,EOL,'+09:00,2022-10-15T00:28:48Z,CORP\vlee
US00WCMMAPP01P,#N/A,#N/A,US00WCMMAPP01P,10.1.58.24,Windows / Server,Microsoft Windows Server 2008 R2 Standard 6.1 SP1 Build 7601.25712 64-Bit,6.1,EOL/EOS,'-05:00,2022-12-16T02:19:47Z,US\c_salvesen-a
UK1CUCITXVDA02,Phase 4,TBA,uk1cucitxvda02.LNHOLDINGS.com,10.73.100.107,Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20478 64-Bit,6.3,EOL,'-05:00,2023-01-21T08:32:53Z,lnholdings\block
EC2AMAZ-DPBL986,#N/A,#N/A,EC2AMAZ-DPBL986,10.16.75.214,Windows / Server,Microsoft Windows Server 2016 Datacenter 1607 64-Bit,1607,EOL,UTC,2022-08-15T10:14:14Z,Administrator
US01WLABAPP01T,#N/A,#N/A,US01WLABAPP01T,10.10.48.33,Windows / Server,Microsoft Windows Server 2008 R2 Standard 6.1 SP1 Build 7601.24544,6.1,EOL/EOS,'-05:00,2022-03-12T17:10:24Z,Administrator
USBHBES02,#N/A,#N/A,USBHBES02,"fe80:0:0:0:6558:784e:e3bb:5b20,10.10.48.131",Windows / Server,Microsoft Windows Server 2008 R2 Standard 6.1 SP1 64-Bit,6.1,EOL/EOS,'-05:00,2022-03-12T17:10:39Z,US.ICAP.COM\besadmin2010
US01WIISAPP02P,#N/A,#N/A,US01WIISAPP02P,10.10.48.71,Windows / Server,Microsoft Windows Server 2008 R2 Standard 6.1 SP1 64-Bit,6.1,EOL/EOS,'-05:00,2022-01-22T13:29:52Z,us\imdadmin
NJ1CVCHAT01,#N/A,#N/A,NJ1CVCHAT01.lnholdings.com,10.78.102.61,Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20478 64-Bit,6.3,EOL,'-05:00,2022-11-05T17:10:25Z,LNHOLDINGS.COM\rtcservice
NJTBST2EXT01,#N/A,#N/A,NJTBST2EXT01,10.137.32.132,Windows / Server,Microsoft Windows Server 2008 R2 Standard 6.1 SP1 Build 7601.25829,6.1,EOL/EOS,'+03:00,2022-12-16T08:39:43Z,!tladmin
NJCPAXIAPP03,Phase 4,TBA,NJCPAXIAPP03,10.138.32.85,Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20478 64-Bit,6.3,EOL,'-05:00,2022-11-05T13:30:06Z,CORP.AD.TULLIB.COM\njcpaxiapp03admin
NJCPABSAPP01,Phase 4,TBA,NJCPABSAPP01,10.136.48.17,Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20478 64-Bit,6.3,EOL,'-05:00,2022-11-05T13:30:07Z,CORP.AD.TULLIB.COM\mcarter-a
NJ1QVBKPXY01,Phase 2,Emmanuel,NJ1QVBKPXY01.lnholdings.com,"10.58.100.51,fe80:0:0:0:e96f:d053:6193:e0ac",Windows / Server,Microsoft Windows Server 2016 Standard 1607 Build 14393.5246 64-Bit,1607,EOL,'-05:00,2022-07-16T19:34:15Z,LNHOLDINGS\fsadmin
SG1PINFIMSSQL01,Phase 4,TBA,SG1PINFIMSSQL01,10.202.34.20,Windows / Server,Microsoft Windows Server 2012 R2 Datacenter 6.3 Build 9600.20371 64-Bit,6.3,EOL,'+08:00,2022-05-27T16:20:37Z,APAC.AD.TULLIB.COM\APAC PMS
NJ1PVBKPXY15,Phase 4,TBA,nj1pvbkpxy15.lnholdings.com,"172.18.100.65,fe80:0:0:0:3958:fe09:9ef9:c147",Windows / Server,Microsoft Windows Server 2019 Standard 1809 Build 17763.3532 64-Bit,1809,GA,'-05:00,2022-11-05T01:41:54Z,Administrator
AU01WGUIAPP01P,Phase 4,TBA,AU01WGUIAPP01P,10.241.32.28,Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20625 64-Bit,6.3,EOL,'+07:00,2022-11-05T03:56:45Z,GLOBAL.ICAP.COM\srvcsydgui
NJTBST2SS04,#N/A,#N/A,NJTBST2SS04,10.137.32.137,Windows / Server,Microsoft Windows Server 2008 R2 Standard 6.1 SP1 Build 7601.25924,6.1,EOL/EOS,'+03:00,2022-12-16T08:39:18Z,angus
NJ1PVTRITON03,Phase 4,TBA,nj1pvtriton03.lnholdings.com,"fe80:0:0:0:1cd6:c7cf:7c76:2104,172.18.104.143",Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20478 64-Bit,6.3,EOL,'-05:00,2022-11-05T00:21:01Z,LNHOLDINGS.COM\msrops
VA1CUQLIK02,Phase 4,TBA,VA1CUQLIK02.lnholdings.com,"fe80:0:0:0:3c91:d65b:1f6a:7e45,10.79.100.211",Windows / Server,Microsoft Windows Server 2019 Standard 1809 Build 17763.3532 64-Bit,1809,GA,'-05:00,2022-11-05T00:24:31Z,mderho
USSQLDBADMIN01S,#N/A,#N/A,USSQLDBADMIN01S,10.10.48.59,Windows / Server,Microsoft Windows Server 2008 R2 Standard 6.1 SP1 64-Bit,6.1,EOL/EOS,'-05:00,2022-03-05T09:38:47Z,US.ICAP.COM\administrator
NJC2WS7836,Phase 4,TBA,NJC2WS7836,10.160.72.181,Windows / Server,Microsoft Windows Server 2019 Datacenter 1809 Build 17763.2114 64-Bit,1809,GA,'-05:00,2022-11-05T03:48:45Z,Administrator
SHGREC02,#N/A,#N/A,SHGREC02,"170.198.160.37,fe80:0:0:0:c8b2:52ea:32fd:abcb",Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20571 64-Bit,6.3,EOL,'+08:00,2022-09-14T19:01:21Z,SHGREC02\shgadm01
USEDPBROKERS1,#N/A,#N/A,USEDPBROKERS1,10.10.48.109,Windows / Server,Microsoft Windows Server 2008 R2 Standard 6.1 SP1 Build 7601.25740 64-Bit,6.1,EOL/EOS,'-05:00,2022-02-26T14:54:18Z,US.ICAP.COM\administrator
NJ1CUECH03,Phase 4,TBA,NJ1CUECH03.lnholdings.com,"fe80:0:0:0:1d28:1dad:29ca:1e10,169.254.1.89,10.78.102.155,10.78.102.153,10.78.201.153",Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20625 64-Bit,6.3,EOL,'-05:00,2022-11-02T15:43:13Z,LNHOLDINGS.COM\exchadmin
LDN2WS079N02,Phase 4,TBA,LDN2WS079N02,"10.91.86.4,169.254.2.180,10.91.86.2,10.91.86.3",Windows / Server,Microsoft Windows Server 2016 Standard 1607 Build 14393.5427 64-Bit,1607,EOL,UTC,2023-01-21T09:42:09Z,CORP\d_lugtu-aa
US01WABSAPP01S,#N/A,#N/A,US01WABSAPP01S,10.10.48.81,Windows / Server,Microsoft Windows Server 2008 R2 Standard 6.1 SP1 Build 7601.25740 64-Bit,6.1,EOL/EOS,'-05:00,2022-03-05T13:58:36Z,US\c_salvesen-a
NJCPIASSQL02,#N/A,#N/A,NJCPIASSQL02,10.137.32.108,Windows / Server,Microsoft Windows Server 2008 R2 Standard 6.1 SP1 Build 7601.25829,6.1,EOL/EOS,'-05:00,2022-12-16T07:37:15Z,NA.AD.TULLIB.COM\!cvladmin
EC2AMAZ-B26KI3O,#N/A,#N/A,EC2AMAZ-B26KI3O,10.16.75.227,Windows / Server,Microsoft Windows Server 2016 Datacenter 1607 Build 14393.5127 64-Bit,1607,EOL,UTC,2022-07-05T09:31:30Z,Administrator
SNGPPRBAPP09,Phase 4,TBA,SNGPPRBAPP09,10.203.32.156,Windows / Server,Microsoft Windows Server 2019 Standard 1809 Build 17763.3532 64-Bit,1809,GA,'+08:00,2022-11-04T17:44:54Z,Administrator
NJ1CVPRT01,Phase 3,Emmanuel,NJ1CVPRT01.lnholdings.com,"10.78.100.82,fe80:0:0:0:c02e:75e2:d04b:e270",Windows / Server,Microsoft Windows Server 2016 Standard 1607 Build 14393.5127 64-Bit,1607,EOL,'-05:00,2022-11-05T17:10:40Z,LNHOLDINGS\jhilaire
LDNPCTMAPI01,Phase 3,Jeff,LDNPCTMAPI01,10.80.36.46,Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20625 64-Bit,6.3,EOL,UTC,2022-10-29T06:05:43Z,CORP.AD.TULLIB.COM\Jtree
LDN1WS9710,Phase 3,Jeff,LDN1WS9710,10.90.80.237,Windows / Server,Microsoft Windows Server 2019 Standard 1809 Build 17763.3532 64-Bit,1809,GA,UTC,2022-12-27T03:53:58Z,Administrator
SNGPRBXFPS01,Phase 4,TBA,SNGPRBXFPS01,10.202.38.12,Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20478 64-Bit,6.3,EOL,'+08:00,2022-08-13T00:18:31Z,CORP.AD.TULLIB.COM\wtan-a
US00WBOSAPP02P,Phase 4,TBA,US00WBOSAPP02P,10.1.58.176,Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20478 64-Bit,6.3,EOL,'-05:00,2023-01-21T23:00:22Z,GLOBAL.ICAP.COM\bossrv
US00WPXEAPP01P,#N/A,#N/A,US00WPXEAPP01P,10.1.58.100,Windows / Server,Microsoft Windows Server 2008 R2 Standard 6.1 SP1 Build 7601.25712 64-Bit,6.1,EOL/EOS,'-05:00,2023-01-22T12:00:50Z,GLOBAL\c_salvesen-a
USHSDFS01,#N/A,#N/A,USHSDFS01,"fe80:0:0:0:9572:5364:1081:24b5,10.1.43.234",Windows / Server,Microsoft Windows Server 2008 R2 Standard 6.1 SP1 Build 7601.25712 64-Bit,6.1,EOL/EOS,'-05:00,2022-12-16T02:20:55Z,Administrator
USHSIMDS7,#N/A,#N/A,USHSIMDS7,10.1.58.20,Windows / Server,Microsoft Windows Server 2008 R2 Standard 6.1 SP1 Build 7601.25829,6.1,EOL/EOS,'-05:00,2022-12-16T01:44:42Z,us\imdadmin
NJ1CVSANMGT01,Phase 4,TBA,NJ1CVSANMGT01.lnholdings.com,"fe80:0:0:0:a90c:160:919a:39eb,10.78.100.139",Windows / Server,Microsoft Windows Server 2016 Standard 1607 Build 14393.5427 64-Bit,1607,EOL,'-05:00,2022-10-29T13:55:18Z,LNHOLDINGS.COM\jhilaire
AU00WGUIAPP09P,Phase 4,TBA,AU00WGUIAPP09P,10.242.32.27,Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20625 64-Bit,6.3,EOL,'+09:00,2022-11-05T03:56:13Z,corp.ad.tullib.com\e_sierra-a
NJ1CVBKPXY02,Phase 4,TBA,NJ1CVBKPXY02.lnholdings.com,"10.78.254.117,fe80:0:0:0:e985:f330:6e44:5f58",Windows / Server,Microsoft Windows Server 2016 Standard 1607 Build 14393.5427 64-Bit,1607,EOL,'-05:00,2022-11-05T00:38:38Z,LNHOLDINGS\pgtses
USHSSCOM01,#N/A,#N/A,USHSSCOM01,10.10.48.34,Windows / Server,Microsoft Windows Server 2008 R2 Standard 6.1 SP1 Build 7601.25712 64-Bit,6.1,EOL/EOS,'-05:00,2022-03-05T13:53:01Z,Administrator
LDNPEGYOPS01,#N/A,#N/A,LDNPEGYOPS01,10.74.48.157,Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 64-Bit,6.3,EOL,UTC,2022-11-05T05:42:15Z,EUR.AD.TULLIB.COM\EUR
